Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
2150,1:21:12,5,1:21:12,6.0,03:05:42,6,1
2155,1:21:13,5,1:21:13,6.0,03:05:50,5,0
2160,1:21:14,5,1:21:14,6.0,03:05:57,6,1
2165,1:21:15,5,1:21:15,6.0,03:06:05,8,3
2170,1:21:16,5,1:21:16,6.0,03:06:12,8,3
2175,1:21:17,5,1:21:17,6.0,03:06:20,6,1
2180,1:21:17,5,1:21:17,6.0,03:06:27,7,2
2185,1:21:18,5,1:21:18,7.0,03:06:35,6,1
2190,1:21:19,5,1:21:19,7.0,03:06:42,7,2
2195,1:21:20,5,1:21:20,7.0,03:06:50,7,2
2200,1:21:21,5,1:21:21,7.0,03:06:57,7,2
2205,1:21:22,5,1:21:22,7.0,03:07:05,7,2
2210,1:21:23,5,1:21:23,7.0,03:07:12,7,2
2215,1:21:24,5,1:21:24,7.0,03:07:20,8,3
2220,1:21:25,5,1:21:25,7.0,03:07:27,8,3
2225,1:21:26,5,1:21:26,7.0,03:07:35,6,1
2230,1:21:27,5,1:21:27,6.0,03:07:42,8,3
